Category,Fuel,Segment,Euro Standard,Technology,Pollutant,Mode,Road Slope,Load,Min Speed [km/h],Max Speed [km/h],Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,Thita,Reduction Factor [%],Bio Reduction Factor [%],120,EF [g/km] or ECF [MJ/km]
Passenger Cars,Petrol,Mini,Euro 4,GDI,CO,,,,5,130,0,"-0,033","5,11",0,"0,002","-0,529","37,51",0,"0,0%","0,0%",120,"1,104"
Passenger Cars,Petrol,Mini,Euro 4,GDI,NOx,,,,5,130,0,"-0,009","0,577",0,0,0,"5,43",0,"0,0%","0,0%",120,"0,019"
Passenger Cars,Petrol,Mini,Euro 4,GDI,VOC,,,,5,130,0,0,"0,047",0,0,0,"4,01",0,"0,0%","0,0%",120,"0,0204"
Passenger Cars,Petrol,Mini,Euro 4,GDI,PM Exhaust,Urban Peak,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0013"
Passenger Cars,Petrol,Mini,Euro 4,GDI,PM Exhaust,Urban Off Peak,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0013"
Passenger Cars,Petrol,Mini,Euro 4,GDI,PM Exhaust,Rural,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0008"
Passenger Cars,Petrol,Mini,Euro 4,GDI,PM Exhaust,Highway,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0012"
Passenger Cars,Petrol,Mini,Euro 4,GDI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 4,GDI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 4,GDI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 4,GDI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 4,GDI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 4,PFI,CO,,,,5,130,0,"-0,033","5,11",0,"0,002","-0,529","37,51",0,"0,0%","0,0%",120,"1,104"
Passenger Cars,Petrol,Mini,Euro 4,PFI,NOx,,,,5,130,0,"-0,009","0,577",0,0,0,"5,43",0,"0,0%","0,0%",120,"0,019"
Passenger Cars,Petrol,Mini,Euro 4,PFI,VOC,,,,5,130,0,0,"0,047",0,0,0,"4,01",0,"0,0%","0,0%",120,"0,0204"
Passenger Cars,Petrol,Mini,Euro 4,PFI,PM Exhaust,Urban Peak,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0013"
Passenger Cars,Petrol,Mini,Euro 4,PFI,PM Exhaust,Urban Off Peak,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0013"
Passenger Cars,Petrol,Mini,Euro 4,PFI,PM Exhaust,Rural,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0008"
Passenger Cars,Petrol,Mini,Euro 4,PFI,PM Exhaust,Highway,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0012"
Passenger Cars,Petrol,Mini,Euro 4,PFI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 4,PFI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 4,PFI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 4,PFI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 4,PFI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 5,GDI,CO,,,,5,130,0,"-0,102","6,877","10,38","0,002","-0,438","30,34",0,"0,0%","0,0%",120,"0,9602"
Passenger Cars,Petrol,Mini,Euro 5,GDI,NOx,,,,5,130,0,"0,103","0,239","-0,34","0,035","1,986","1,26",0,"0,0%","0,0%",120,"0,011"
Passenger Cars,Petrol,Mini,Euro 5,GDI,VOC,,,,5,130,0,"-0,001","0,045","0,17",0,"-0,048","6,21",0,"0,0%","0,0%",120,"0,0111"
Passenger Cars,Petrol,Mini,Euro 5,GDI,PM Exhaust,,,,10,130,0,0,"0,007","0,06",0,"-0,088","6,01",0,"0,0%","0,0%",120,"0,0025"
Passenger Cars,Petrol,Mini,Euro 5,GDI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 5,GDI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 5,GDI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 5,GDI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 5,GDI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 5,PFI,CO,,,,5,130,0,"-0,102","6,877","10,38","0,002","-0,438","30,34",0,"0,0%","0,0%",120,"0,9602"
